Distance_km,Transport_Mode,Weather,Traffic_Level,Fuel_Price,Carrier_Rating,Warehouse_Time_hr,Delivery_Delay_hr
1136,Ship,Rainy,Low,119.88251691877367,3.1,23,23.35
1774,Rail,Rainy,Medium,78.20572197978952,1.1,26,27.37
1433,Ship,Rainy,Medium,72.72612794391398,4.8,16,6.74
2658,Ship,Clear,Medium,86.48655535731062,2.1,27,39.45
376,Rail,Fog,Medium,93.08295903807077,1.1,47,28.51
1842,Ship,Clear,High,80.24106235379273,1.3,41,41.15
1809,Rail,Clear,Low,85.07124558992793,3.3,30,23.87
1039,Ship,Storm,High,80.04353678458288,1.6,33,39.51
2312,Rail,Rainy,Low,108.71302842162257,1.2,32,35.68
2532,Ship,Fog,Low,105.62889716236305,2.5,9,15.36
1001,Rail,Storm,High,101.74757578804909,3.5,11,25.6
772,Truck,Fog,Medium,89.36089285396024,1.4,37,32.34
2129,Rail,Fog,High,115.4520470657118,2.3,6,23.21
2767,Ship,Rainy,High,118.476627076751,2.7,30,42.35
2382,Ship,Clear,Low,78.6819656312706,1.6,40,34.7
478,Air,Rainy,Low,81.1506320705939,3.0,15,9.34
1550,Rail,Rainy,Low,96.28155140001849,1.3,30,33.92
335,Truck,Storm,Medium,74.56252846411226,1.2,18,25.85
2115,Rail,Rainy,High,91.82241994115564,3.1,12,22.71
818,Rail,Clear,High,99.0895632388855,2.0,4,16.68
2687,Truck,Fog,Medium,96.10367855686665,1.4,16,39.24
1444,Rail,Rainy,High,86.5454291539013,2.7,23,31.09
243,Truck,Fog,High,97.12229030386034,4.7,11,8.92
2599,Truck,Rainy,Low,117.94004771294239,3.9,24,27.83
1037,Rail,Fog,Medium,80.3008702145688,4.3,22,13.87
1186,Rail,Rainy,Low,102.74156791970017,4.5,39,28.54
2211,Ship,Storm,Medium,72.1698347078026,4.9,15,31.45
1751,Ship,Fog,Low,73.32082022407175,4.1,15,10.57
996,Air,Rainy,High,97.59141121117925,3.4,10,13.88
880,Air,Rainy,Medium,75.24695901639747,2.5,28,23.85
1970,Rail,Storm,Medium,71.11733942134286,1.7,36,45.92
104,Truck,Storm,Low,78.57564988240111,3.7,17,12.74
849,Air,Storm,Medium,98.24245854997872,5.0,36,23.72
827,Rail,Fog,High,105.16704772594662,2.9,22,27.41
1531,Air,Fog,High,80.123928207069,3.9,23,35.32
1951,Truck,Storm,High,103.41297186040873,3.0,29,52.33
2259,Rail,Clear,Low,79.12381655496146,2.7,22,35.4
2184,Truck,Clear,Medium,100.67287133156286,2.6,11,20.35
104,Rail,Rainy,Low,90.59798399478994,3.0,36,10.54
1873,Air,Clear,High,102.68997546668083,2.5,44,42.95
1251,Ship,Rainy,Medium,119.75263762396236,4.0,29,19.2
882,Air,Fog,High,116.8908482616281,4.5,42,35.98
362,Air,Fog,Medium,70.21408789180518,4.5,32,16.45
2856,Ship,Clear,Medium,114.27193821811528,1.9,14,34.45
1908,Ship,Fog,Low,73.32453975873833,4.6,18,11.72
2057,Rail,Storm,Medium,117.65232930799225,2.4,38,36.33
2056,Rail,Storm,High,84.09128395498423,2.2,37,53.86
2540,Truck,Clear,Medium,89.10174152056355,3.9,34,39.0
1840,Truck,Clear,High,74.5819102587864,2.2,45,44.1
377,Air,Rainy,Low,75.61363791644548,1.2,23,22.44
2858,Ship,Fog,High,106.33702826146597,2.5,32,42.17
2676,Truck,Rainy,Medium,117.21661178741458,3.9,46,35.92
1337,Air,Rainy,High,100.53742474771548,2.3,3,14.95
2193,Ship,Storm,High,105.79250077634055,3.5,43,50.92
1161,Rail,Storm,Medium,108.09848722985768,3.6,22,28.04
1361,Air,Storm,High,83.14071372764708,3.9,23,33.2
2911,Rail,Storm,Medium,72.26148154601074,4.6,4,24.17
2588,Truck,Rainy,Low,70.09363719595842,2.7,13,31.44
501,Truck,Storm,High,87.53246414770094,1.7,32,26.81
1573,Ship,Fog,Low,82.0732114099608,2.3,29,20.27
214,Air,Storm,High,73.11588625245928,2.7,40,26.63
231,Rail,Storm,High,78.97641462468334,3.9,40,33.55
2566,Ship,Storm,Low,76.2249449133974,1.1,45,56.89
959,Truck,Clear,High,115.74391903086851,2.3,10,27.57
2832,Truck,Fog,High,77.01336067295844,4.1,13,39.19
872,Air,Fog,Low,96.88242319938396,3.7,45,31.03
993,Rail,Rainy,High,99.65529775560823,3.9,17,20.07
2051,Air,Rainy,Medium,97.1744728854317,4.2,38,26.23
2104,Rail,Storm,High,74.9528217107994,4.1,2,32.48
379,Rail,Clear,High,85.93991808752756,3.7,17,15.85
824,Air,Rainy,High,72.56351662315767,2.8,44,36.16
2248,Ship,Rainy,Low,89.7834957048158,4.9,26,23.32
196,Air,Storm,Medium,79.4299465635796,3.3,38,26.8
964,Air,Storm,Medium,98.08162666421899,1.8,37,29.87
1621,Truck,Rainy,High,104.64041969245503,2.2,5,17.09
1358,Truck,Rainy,Low,96.60599301023532,3.8,25,12.9
2797,Air,Fog,Low,91.71183483056979,4.7,9,23.19
131,Air,Clear,Medium,89.36667104283462,1.7,28,6.02
563,Truck,Fog,Low,112.0845884048502,1.3,22,11.91
1970,Rail,Rainy,High,80.9684032532635,4.5,29,37.71
2912,Air,Fog,High,106.71091697644344,4.7,35,40.07
2806,Ship,Fog,Low,107.87411623700595,2.1,20,31.34
1989,Ship,Rainy,High,90.96000036353672,2.5,5,25.75
795,Ship,Storm,Medium,84.86502996128196,3.6,39,31.48
1459,Air,Rainy,High,93.52707430229876,2.3,44,37.49
756,Rail,Storm,Low,74.66069629463493,4.5,32,28.49
520,Rail,Rainy,Medium,72.2965016114545,1.4,39,24.85
445,Truck,Rainy,High,75.58015997259459,1.2,10,20.75
1605,Air,Rainy,Medium,79.35725157311131,1.8,40,32.04
2358,Rail,Clear,Low,95.20884101690214,2.1,17,25.32
854,Air,Storm,High,112.45683180805611,1.5,37,38.63
983,Truck,Clear,High,81.78211659998435,1.3,15,24.27
1329,Truck,Rainy,Medium,116.7581005373389,4.0,9,7.9
1807,Truck,Fog,High,117.74539544675017,1.7,32,35.82
954,Ship,Clear,High,117.94523024226027,4.7,23,17.4
1126,Air,Storm,High,111.87813673381619,2.5,11,26.34
1940,Truck,Rainy,High,88.19125203988602,3.7,13,27.5
1573,Air,Clear,Low,73.63419555013115,1.9,18,13.87
2951,Ship,Fog,High,98.44093658832475,2.0,9,39.53
1437,Ship,Clear,Medium,97.93407219686169,3.3,42,32.15
1353,Truck,Storm,Low,112.49878835547977,3.2,5,16.73
642,Truck,Clear,Medium,119.79955254730527,4.1,43,29.33
2811,Rail,Fog,Medium,95.40786532800738,4.0,22,31.2
2729,Air,Fog,Medium,87.26020155198921,3.7,32,28.08
2156,Truck,Storm,Low,79.29508557781335,2.8,47,48.05
177,Rail,Fog,Low,70.23999124086853,4.6,2,-6.12
785,Air,Rainy,Low,95.45568462444396,3.5,21,13.59
2818,Truck,Fog,High,97.77593333512979,5.0,28,38.89
2623,Rail,Rainy,Medium,111.24692399086987,4.3,24,24.57
570,Rail,Clear,Low,95.22884839464002,1.2,24,9.83
2649,Air,Rainy,Medium,115.82341743330284,2.3,14,25.62
286,Rail,Rainy,Low,101.40417382857177,3.3,37,11.97
1354,Air,Clear,Low,112.01681191105416,3.9,27,13.57
1831,Air,Fog,Low,77.41508674038735,3.2,24,20.25
1351,Air,Rainy,Medium,112.76680651511573,4.1,6,11.61
2591,Ship,Fog,High,103.75719272219243,2.1,26,50.95
2101,Rail,Clear,Low,78.51165162191653,1.7,15,28.89
2763,Air,Storm,Low,79.48817790730054,1.2,29,56.26
491,Truck,Fog,Low,116.32503095221107,3.3,36,21.18
2126,Ship,Fog,High,71.61076802251864,3.8,10,30.83
2707,Ship,Storm,Medium,93.1267471647853,2.3,28,44.78
854,Rail,Storm,Medium,85.67376449670508,3.5,9,16.74
124,Air,Clear,Medium,103.2538719999214,1.2,21,7.24
2935,Rail,Fog,Medium,111.98146937844959,1.4,10,30.45
2225,Ship,Fog,Low,88.01890607782848,3.8,4,16.99
2139,Air,Clear,High,91.34510436614187,2.5,4,29.96
1429,Truck,Fog,Low,119.0958892250707,3.7,6,12.01
90,Air,Rainy,High,109.19582548396014,4.3,26,12.49
2131,Ship,Rainy,Medium,114.86020654658958,4.4,40,32.79
1750,Truck,Rainy,High,91.93811103258149,1.7,16,32.27
1451,Air,Fog,Low,81.70381019920576,2.9,8,16.05
637,Truck,Rainy,Low,90.59317326932259,3.9,28,4.98
1672,Truck,Rainy,Medium,105.80459589157567,4.1,16,11.13
391,Ship,Clear,Low,75.47152024179897,4.1,38,20.25
2124,Truck,Clear,Low,83.52345528082544,1.9,1,17.64
695,Rail,Storm,High,72.33179502307952,1.8,19,28.73
780,Ship,Storm,Low,91.61738691690658,3.4,17,18.18
217,Rail,Storm,Medium,111.37228679898067,4.0,28,16.85
659,Truck,Storm,Medium,71.23318441490053,2.3,44,36.78
2365,Rail,Clear,Low,103.7661763403583,1.4,12,21.31
1822,Air,Clear,Medium,116.62479372568697,3.9,6,13.54
2090,Truck,Clear,High,81.84639307555912,2.2,7,29.23
2918,Air,Rainy,High,104.68174203638242,1.7,8,39.76
504,Rail,Rainy,Low,118.75509505501002,1.6,3,4.45
1758,Air,Storm,Low,118.11390300762315,2.3,21,36.06
751,Truck,Rainy,High,81.74645965145716,3.4,8,9.85
2731,Air,Fog,Medium,75.01655266060344,2.4,28,31.8
1649,Rail,Clear,Low,77.4141268947958,1.1,30,41.58
179,Rail,Storm,Low,105.10178342410711,1.4,32,23.48
1895,Rail,Storm,Medium,106.28794377266378,2.2,11,29.13
1436,Truck,Fog,Low,103.71182808140995,3.6,20,20.55
2916,Rail,Rainy,Medium,86.8039193871119,1.4,16,42.34
742,Truck,Storm,Medium,78.4888469879061,3.2,25,20.8
1444,Air,Rainy,Medium,99.03805459761266,1.5,45,28.95
843,Rail,Rainy,Medium,94.18402228789333,1.8,9,3.12
78,Air,Fog,Medium,106.44170735611517,1.7,39,24.85
198,Ship,Storm,High,92.06800393428108,1.3,40,32.19
1369,Air,Rainy,Medium,86.93198473432342,3.7,40,26.15
2108,Ship,Rainy,High,84.67392886795072,2.9,3,19.89
2773,Air,Fog,Medium,80.57351600248732,4.3,16,19.89
1186,Truck,Fog,Low,83.28731880933307,1.4,12,13.6
236,Air,Rainy,High,74.74152194220507,1.6,15,9.97
2904,Truck,Fog,Low,87.34285054644448,2.2,4,23.18
2841,Truck,Rainy,Medium,71.82849061814791,4.1,23,41.74
1300,Rail,Storm,Medium,79.32069235831634,2.2,27,34.22
1383,Truck,Clear,Low,107.33852223097145,2.6,39,32.79
147,Ship,Fog,Medium,86.27344943383113,2.2,43,22.69
104,Rail,Clear,Low,103.41185084886719,1.3,37,16.44
2720,Rail,Rainy,Medium,105.84420877986386,4.8,13,21.9
2761,Air,Rainy,Medium,99.05926713660568,3.2,43,43.95
807,Truck,Rainy,High,117.93488706826992,4.2,37,27.01
455,Truck,Clear,Low,71.07199333115567,3.6,40,14.51
2166,Ship,Rainy,Medium,106.9326325294071,3.1,21,26.61
1362,Air,Fog,Low,117.9393321970204,1.4,29,21.79
1835,Air,Storm,High,113.11358646764697,3.6,29,42.79
800,Rail,Storm,Low,78.39463459025066,1.6,11,18.62
1812,Rail,Fog,High,86.3410153125866,2.7,28,28.38
414,Rail,Storm,Low,78.62259199382328,3.5,10,0.38
2076,Ship,Clear,Low,100.0654181907352,4.1,5,10.36
531,Ship,Rainy,High,105.60939909897462,3.7,25,27.43
2298,Rail,Rainy,Medium,85.85368846815291,3.7,33,30.53
203,Air,Rainy,Medium,96.97532869921477,1.6,17,11.21
1574,Ship,Clear,Medium,104.54602850355975,2.4,33,16.82
2170,Air,Clear,Low,91.06699083055241,1.2,25,26.76
2810,Air,Clear,Low,112.70077652277297,3.9,33,30.03
2393,Truck,Fog,Medium,108.57749676439086,4.8,9,17.82
1090,Rail,Clear,Low,73.23327719252853,2.1,27,32.31
1714,Truck,Storm,Low,101.05626495454145,1.4,25,39.14
1290,Rail,Fog,Medium,81.76627754798749,2.9,4,17.58
110,Rail,Fog,High,97.87591323336376,4.4,9,3.53
988,Air,Fog,Low,117.84442213164832,3.2,46,33.3
1689,Rail,Clear,Low,113.95310022761251,1.2,15,32.36
2139,Air,Fog,Low,90.2258201557566,4.9,16,19.04
74,Air,Clear,Low,84.57569291721767,4.3,16,-2.56
1112,Rail,Clear,High,81.72028722041296,1.5,13,16.03
180,Air,Fog,Medium,96.625743487826,4.7,14,-2.15
1302,Air,Rainy,Low,75.71242266290281,2.8,22,18.83
157,Air,Rainy,Medium,97.46375040641243,2.5,21,17.22
221,Ship,Fog,Low,70.0666819745396,2.8,9,-5.36
1508,Air,Rainy,High,86.19248153729224,4.3,41,35.28
151,Ship,Storm,Medium,80.99671569152906,3.6,4,-2.76
2963,Ship,Storm,High,118.5609394980391,1.2,10,48.1
2621,Air,Clear,Low,106.36211597849895,4.8,35,35.67
2372,Air,Rainy,High,87.48266902311188,1.6,9,35.58
1686,Ship,Storm,High,74.64225432653103,4.0,16,37.81
2914,Ship,Fog,Low,95.8400297345312,3.5,18,33.13
1090,Air,Rainy,Low,80.67239406630212,1.8,10,15.2
379,Air,Storm,Medium,96.82147729491788,1.7,21,21.12
1570,Rail,Storm,Low,111.76811770894463,4.5,15,18.96
61,Ship,Fog,Medium,100.78962760506927,2.7,15,-6.55
1391,Ship,Clear,High,101.68942097725011,3.6,11,17.48
265,Rail,Fog,High,97.05151445314057,3.0,40,23.98
388,Ship,Clear,Medium,116.36328163157046,3.9,42,23.35
1849,Truck,Storm,Low,116.59513422103016,2.9,41,42.69
2758,Ship,Clear,Low,95.63616005367761,2.1,47,45.9
1800,Rail,Storm,High,85.28797435717522,2.5,37,51.43
1558,Truck,Storm,Medium,92.9793502939722,4.4,20,25.43
2471,Air,Rainy,High,79.32789560978078,2.9,34,47.96
759,Rail,Clear,High,101.81721576590446,1.9,22,32.69
1273,Rail,Clear,Low,95.00461678911167,4.7,18,23.28
2563,Air,Clear,Medium,75.16502389066399,4.2,16,25.72
1162,Rail,Fog,High,79.88238905598077,1.2,5,21.4
1341,Ship,Rainy,Low,93.98159780997634,5.0,1,11.8
538,Air,Rainy,High,114.37944953594291,3.8,19,14.53
1611,Rail,Rainy,High,98.31953603155488,1.6,10,29.31
96,Air,Fog,Low,104.07675001042354,1.9,21,1.98
827,Air,Clear,Low,86.95142748719549,3.8,13,5.62
1089,Air,Clear,Medium,98.57056965221172,4.1,24,20.47
760,Truck,Clear,High,92.36899113190337,2.0,23,19.51
450,Rail,Rainy,Medium,102.95649563115803,2.0,23,11.36
1867,Truck,Rainy,Low,72.52877830395052,2.2,11,11.9
299,Rail,Storm,Low,94.66501081194795,3.4,47,39.72
440,Ship,Fog,High,84.79963125719834,1.7,2,16.32
384,Ship,Fog,Medium,86.30925306389545,1.4,6,4.98
678,Ship,Rainy,Medium,118.04587157790307,3.7,11,7.42
186,Rail,Storm,High,79.13474063556913,4.1,15,21.14
2980,Air,Clear,High,85.56226262892984,3.0,9,43.22
2785,Air,Rainy,Medium,95.49462878654359,2.5,12,26.26
1571,Truck,Fog,Low,113.15134740748118,2.7,36,31.97
876,Truck,Fog,Low,90.83350416031853,2.6,28,22.95
776,Ship,Fog,High,107.19326404440855,4.8,23,23.74
1550,Truck,Clear,Medium,112.81870491074011,4.1,27,9.5
2691,Rail,Fog,Medium,85.50081779109244,1.8,24,32.31
1039,Rail,Clear,Medium,89.6375091769355,2.5,14,7.29
2469,Truck,Clear,Low,87.82781118441781,3.2,35,36.54
984,Truck,Clear,Low,111.64279043089606,3.5,27,6.26
451,Truck,Rainy,Medium,72.21734309768006,2.9,21,-1.02
1516,Truck,Clear,Medium,85.421054441434,4.2,13,24.11
664,Ship,Storm,High,103.9704278797565,4.1,8,23.53
1346,Ship,Fog,High,98.27217497826713,3.0,44,38.07
1232,Truck,Rainy,Medium,91.81446796468471,4.4,44,27.34
2717,Rail,Fog,Medium,96.99741136106923,4.0,44,41.9
2285,Ship,Clear,Low,79.87922929141591,4.1,34,36.64
1171,Rail,Rainy,Medium,91.53583108040053,4.8,42,19.95
180,Air,Storm,High,95.08514920881746,2.1,23,28.03
2902,Rail,Clear,Low,115.05945609773008,2.1,9,30.46
1244,Truck,Fog,High,83.04175814019882,4.6,1,6.51
232,Air,Storm,High,113.39142510824664,4.1,36,36.5
413,Ship,Clear,Low,102.21207004129909,4.7,46,15.5
88,Ship,Storm,High,71.01704155338005,1.3,16,29.37
2594,Air,Clear,Medium,106.23156684496968,3.5,25,32.01
1422,Rail,Rainy,High,71.77759387745276,1.6,18,36.19
970,Ship,Clear,Low,119.86905634069066,3.0,34,15.49
2819,Truck,Rainy,Low,113.6318343845599,1.6,38,38.57
65,Air,Clear,Low,84.86718737700228,1.5,3,-5.38
542,Truck,Clear,High,82.87056150983527,1.0,20,22.09
1499,Air,Fog,Medium,89.07205410528044,3.5,19,25.2
1181,Ship,Storm,Low,87.80834826572215,2.4,13,31.48
2991,Rail,Storm,Medium,88.61689091926905,1.4,17,34.06
360,Air,Storm,Low,85.91382730597402,2.3,14,17.25
788,Air,Clear,Medium,101.05667034241657,1.7,30,3.42
595,Truck,Clear,Medium,78.2131831860312,4.8,22,11.33
2511,Ship,Clear,Medium,112.29906462230065,2.3,43,47.6
300,Truck,Rainy,Low,110.62012420156577,2.3,43,19.7
808,Ship,Rainy,High,93.82416039276352,4.4,29,22.2
1854,Truck,Fog,High,112.63649826392738,3.6,2,20.71
1347,Air,Clear,High,82.35725350151466,3.8,8,13.95
1681,Truck,Storm,Medium,70.87827278519835,3.5,14,28.97
1964,Rail,Storm,Low,100.96039625149115,4.8,34,35.88
863,Ship,Fog,Medium,92.89547034823576,1.8,13,16.18
78,Ship,Storm,Low,98.35822731479354,5.0,10,5.21
1007,Air,Fog,Medium,114.96697045092014,4.3,8,1.16
2082,Ship,Clear,Low,118.49627867829717,3.4,7,9.84
526,Rail,Storm,Low,101.72265698778016,3.6,13,5.24
367,Truck,Clear,Low,108.20277949262191,3.6,26,16.03
294,Air,Rainy,Medium,74.19042167435822,1.2,32,14.25
797,Rail,Storm,High,78.03577924457528,1.9,19,33.36
746,Ship,Rainy,Medium,106.66024024764883,4.8,15,14.28
321,Ship,Storm,Medium,91.5682728194001,3.1,2,5.2
1821,Rail,Clear,Low,92.29826352022029,2.5,37,28.57
1312,Truck,Fog,Low,85.43038408177183,4.0,19,13.96
2474,Truck,Clear,High,100.36781917388718,3.1,33,43.19
315,Air,Clear,High,79.25825227081013,1.1,39,37.89
970,Ship,Clear,Low,101.34581396569479,3.9,33,26.23
389,Rail,Storm,High,78.68994285676199,3.9,1,17.69
438,Truck,Fog,High,73.19130173548568,1.7,39,35.73
2674,Air,Rainy,Low,86.51788443495305,4.8,28,30.25
2100,Ship,Clear,Medium,81.55701710049239,1.9,17,27.2
1215,Ship,Storm,High,114.44958192781661,2.8,6,26.04
425,Air,Rainy,Low,72.74767269343133,1.5,44,16.8
2083,Air,Clear,High,78.83068462870614,3.4,20,38.05
2421,Truck,Rainy,High,97.43598027915247,2.5,47,53.37
195,Rail,Clear,Low,94.05335954237368,2.4,13,3.74
2031,Ship,Rainy,High,72.29260091873508,4.3,12,25.7
342,Rail,Rainy,High,70.36262140075722,1.0,30,16.89
481,Ship,Fog,High,119.4033970980575,4.2,21,10.02
754,Ship,Fog,Medium,102.94173501794191,3.3,2,3.62
2048,Rail,Clear,Medium,88.27030654507784,4.9,18,17.03
2682,Air,Storm,High,93.52161238316206,3.4,28,50.93
448,Truck,Fog,Low,83.32750602271435,1.2,4,3.56
2914,Ship,Rainy,High,87.2436891846605,1.2,42,52.33
1013,Air,Fog,High,102.4522233634107,4.5,43,25.79
2284,Ship,Fog,Medium,114.14058994336854,4.4,6,8.98
2091,Truck,Clear,Medium,79.20650115405924,2.4,38,34.38
1878,Ship,Fog,Medium,112.01807526926594,3.5,9,19.37
2158,Truck,Fog,High,76.07783147591346,3.0,20,25.36
988,Truck,Rainy,High,80.74961117941956,4.9,45,30.46
759,Ship,Fog,Low,71.8587644024823,4.8,30,14.4
856,Ship,Rainy,High,77.04059310464997,4.9,37,20.31
1513,Truck,Fog,High,115.86515727320253,4.5,38,40.24
1375,Air,Fog,Medium,92.97193733091893,4.6,4,4.62
60,Rail,Storm,Medium,73.88329308891768,1.9,38,25.29
1135,Truck,Fog,Medium,117.98634190194807,4.3,13,8.44
1918,Ship,Rainy,Medium,113.94961538793251,3.8,35,20.23
2323,Ship,Rainy,Medium,107.73412604340706,4.9,30,33.47
2661,Air,Clear,Low,116.6736395973779,3.3,42,36.23
821,Rail,Clear,Low,81.0064710417882,1.3,4,6.43
1644,Truck,Storm,Low,111.81846465050432,3.4,25,35.13
1657,Truck,Rainy,Medium,104.49955981771531,3.7,31,31.97
1383,Rail,Rainy,Medium,113.48796247838442,1.9,47,28.13
934,Truck,Rainy,Medium,109.84557828713149,2.6,12,7.91
1439,Rail,Storm,Low,87.32475315884125,3.4,15,32.0
275,Ship,Rainy,Medium,108.71992685086278,2.5,26,13.07
874,Rail,Clear,Low,83.12281514924452,2.5,10,12.1
2315,Truck,Storm,Medium,86.42960815140275,1.5,12,30.89
986,Rail,Clear,High,75.3952858611488,4.8,22,17.36
2850,Air,Clear,Low,116.75383079902343,4.0,40,39.66
2603,Ship,Storm,High,84.55016817001408,1.0,21,48.24
2356,Ship,Fog,Low,96.03112325857259,4.1,35,24.49
1961,Rail,Fog,Medium,89.56664182330964,4.0,7,12.56
1846,Truck,Clear,Medium,117.99640602917508,1.0,18,32.23
103,Air,Fog,High,86.75245854692412,2.5,27,17.83
776,Ship,Rainy,Medium,108.92729107113445,3.4,35,25.33
2786,Ship,Storm,Low,112.770807731559,2.8,47,56.66
1594,Truck,Clear,Medium,91.78032487404829,4.1,2,4.92
1093,Truck,Rainy,Medium,88.90859072264657,2.7,32,27.92
1963,Air,Fog,Low,107.38729104663139,1.6,15,24.99
1826,Rail,Rainy,High,115.6447990153117,4.9,45,43.77
1646,Truck,Fog,High,107.74658665361191,2.0,24,27.12
1964,Rail,Clear,Medium,81.35631827959328,3.9,20,27.03
2516,Air,Rainy,Low,114.41538737188526,1.6,10,32.3
2787,Rail,Storm,High,89.37908337184166,2.3,24,54.72
899,Ship,Clear,High,98.81147058889671,2.8,24,19.36
2159,Rail,Rainy,Medium,111.57178096463555,1.8,24,29.76
2313,Air,Rainy,Low,79.41973837002462,2.8,40,40.59
52,Air,Fog,High,109.22550678387765,1.6,34,23.49
209,Air,Clear,Medium,99.80813989553387,3.2,41,19.2
830,Rail,Clear,Medium,114.66708209138041,3.7,40,25.96
942,Ship,Clear,Medium,78.59852009217715,1.2,11,9.28
2080,Truck,Clear,Medium,91.03411185204642,4.5,26,19.02
2426,Ship,Fog,High,111.64215464334188,1.7,1,29.17
629,Rail,Storm,Low,70.96158517283801,1.9,30,25.84
1983,Rail,Clear,Medium,75.61006833828215,3.6,43,38.06
1430,Truck,Fog,Medium,119.52826063783674,2.9,18,12.13
1340,Rail,Storm,High,84.01970892951752,3.0,26,43.5
1690,Air,Storm,Medium,118.77715968619768,1.5,47,54.17
1001,Air,Fog,Medium,79.1265775504337,4.2,9,6.11
2732,Air,Clear,Low,88.05472215036679,3.5,9,25.12
1037,Air,Storm,Medium,107.64347222517853,1.5,1,14.03
1268,Air,Clear,High,102.88892036190893,2.5,7,16.47
970,Rail,Clear,Low,99.05611999645278,4.2,44,21.26
2835,Truck,Rainy,High,96.49495879025038,3.3,42,57.96
1405,Truck,Clear,Low,112.172022183237,1.4,16,18.89
219,Air,Rainy,Low,81.74742814166963,2.5,38,9.58
570,Rail,Storm,Medium,92.12354634967592,2.0,11,18.48
1536,Ship,Fog,Medium,77.77261460782286,3.1,25,25.79
89,Ship,Rainy,Medium,99.79707978653522,4.4,29,6.46
1610,Rail,Fog,High,82.52722121356601,2.7,19,35.55
1468,Air,Storm,Medium,86.69210321716929,2.7,18,32.17
1004,Truck,Clear,Medium,93.5625358311764,4.6,47,19.09
1033,Rail,Storm,Low,71.3385292851564,3.3,29,25.47
1024,Ship,Fog,Medium,74.59689679604188,3.3,16,12.77
87,Ship,Storm,Medium,104.29646103541097,2.0,46,21.54
2425,Ship,Clear,Medium,91.44849903587536,3.4,40,39.13
1324,Air,Storm,Medium,113.23951109999477,3.3,8,11.83
1249,Ship,Clear,Low,104.73360018220998,2.6,34,29.41
1675,Rail,Rainy,Medium,70.40504708236612,5.0,6,14.29
963,Rail,Fog,Low,100.83561653835675,4.5,45,25.65
503,Ship,Clear,High,74.68624330298582,4.0,45,24.15
86,Rail,Clear,Medium,109.04665898952472,3.1,30,10.51
1761,Ship,Storm,Medium,119.5753844139251,2.8,44,41.44
845,Ship,Rainy,Medium,96.55993971207558,1.7,34,16.9
1022,Truck,Clear,Low,104.13897500970651,2.2,21,14.63
642,Air,Rainy,Medium,81.86570804473757,4.1,12,7.71
1187,Air,Rainy,Medium,91.87988718768968,2.8,6,9.49
1374,Truck,Storm,High,112.80476661181919,4.5,39,49.49
2321,Truck,Clear,Low,78.37114738731256,1.6,6,26.84
367,Air,Storm,Low,83.2767802806881,3.0,4,12.96
2446,Ship,Fog,High,92.27168376430151,3.6,9,21.72
2212,Ship,Fog,Low,105.61244459220069,3.1,5,16.99
2795,Air,Clear,Medium,88.7941977397837,4.6,10,18.43
1396,Ship,Rainy,Medium,116.38661398915019,5.0,47,26.54
1641,Truck,Clear,High,74.72285256343596,1.5,8,21.94
1939,Ship,Clear,Low,88.54020987724238,1.5,23,26.0
2137,Ship,Fog,Low,105.44770617142109,1.5,4,25.68
2046,Rail,Fog,Low,81.29933828307462,3.7,37,33.94
1822,Rail,Rainy,High,102.82065671148365,2.5,7,29.76
1362,Rail,Rainy,Medium,78.2108479113673,3.9,6,0.82
1335,Ship,Clear,High,72.79901424308432,2.6,45,38.94
265,Air,Storm,Medium,76.05078583743244,3.5,42,31.48
2433,Truck,Clear,High,116.49923915670674,4.1,15,39.16
2189,Ship,Rainy,Medium,97.58754414697756,3.2,35,25.25
2450,Air,Storm,Low,109.81728877398245,3.2,32,42.34
2668,Ship,Fog,Low,86.63272504525256,1.4,14,36.05
2913,Truck,Rainy,Low,99.63293239427233,2.6,35,40.47
1754,Ship,Rainy,High,94.74760668524958,3.2,11,20.09
2878,Truck,Storm,High,117.2868979701147,2.8,10,38.43
412,Ship,Rainy,High,107.37873180270552,4.6,17,6.68
2654,Truck,Rainy,Low,106.52713157482896,4.6,13,15.4
1766,Ship,Rainy,Medium,72.31766347171397,4.3,34,26.35
1243,Truck,Rainy,Low,97.48348345018455,2.5,45,34.41
405,Rail,Rainy,Low,93.34957269509074,3.9,5,-7.55
240,Ship,Rainy,Medium,116.39211333030973,2.6,10,3.49
2519,Ship,Rainy,Medium,82.86709940947661,1.9,32,41.62
749,Air,Rainy,Medium,83.49167266455471,2.4,12,8.68
2104,Air,Fog,Medium,90.56731244407501,1.3,13,16.89
2230,Truck,Rainy,Low,82.1684856703188,2.3,21,30.13
606,Ship,Fog,High,76.45919589043747,2.8,33,24.69
875,Truck,Fog,Low,112.87074233254003,4.8,41,18.87
2858,Rail,Clear,Medium,97.91382622019579,2.3,47,44.75
1104,Air,Clear,High,113.06813594782834,4.6,32,26.27
2632,Truck,Fog,High,111.5567382701848,1.9,12,39.07
475,Truck,Fog,Low,84.10211773948356,1.8,46,36.1
2769,Air,Rainy,Low,97.3868722162137,3.1,35,39.55
2460,Ship,Clear,Low,74.16088513700352,3.7,36,42.76
1624,Truck,Storm,High,115.76259420153792,1.2,38,52.63
2179,Air,Clear,High,90.21313575325766,1.9,28,39.49
2453,Ship,Fog,High,89.68380919445107,2.8,13,34.17
638,Rail,Fog,Medium,85.13776853089766,2.3,12,1.67
